영화제목,유통회사명,개봉년도,개봉월,총스크린수,관람객수,장르,등급,네이버_평점,씨네21_평점,평균평점,장르2,등급_le,관람객수_le,계절_le,계절,관객수_등급,장르_le
문재인입니다,유한회사 엠프로젝트,2023,5,602.0,235.0,다큐멘터리,12세이상관람가,8.6,6.0,7.3,8,0,244,0,1,1,8
에브리씽 에브리웨어 올 앳 원스,워터홀컴퍼니(주),2022,10,620.0,210.0,액션,15세이상관람가,8.8,8.43,8.615,1,1,218,2,3,1,1
다음 소희,트윈플러스파트너스(주),2023,2,562.0,174.0,드라마,15세이상관람가,8.72,6.5,7.61,2,1,183,3,4,1,2
극장판 아름다운 그: 이터널,홀리가든,2023,7,94.0,158.0,멜로/로맨스,15세이상관람가,8.74,6.072941176470588,7.406470588235294,3,1,164,1,2,1,3
기적을 믿는 소녀,홀리가든,2023,7,76.0,135.0,드라마,전체관람가,9.17,4.0,6.585,2,2,140,1,2,1,2
드림,플러스엠 엔터테인먼트,2023,4,63.0,115.0,코미디,12세이상관람가,6.79,5.2,5.995,6,0,119,0,1,1,6
리바운드,(주)바른손이앤에이,2023,4,63.0,100.0,드라마,12세이상관람가,8.31,6.8,7.555,2,0,103,0,1,1,2
슬기로운 아내 수업,주식회사 오디언스,2023,7,20.0,94.0,코미디,12세이상관람가,7.25,5.0,6.125,6,0,97,1,2,1,6
그 노래,주식회사 씨엠닉스,2023,8,5.0,89.0,드라마,12세이상관람가,6.33,6.0,6.165,2,0,92,1,2,1,2
라방,(주)트리플픽쳐스,2023,6,282.0,86.0,스릴러,청소년관람불가,5.43,4.0,4.715,7,3,89,1,2,1,7
너의 눈을 들여다보면,(주)디오시네마,2023,6,71.0,79.0,드라마,전체관람가,8.0,8.4,8.2,2,2,82,1,2,1,2
99번의 정사,주식회사 풍경소리,2023,8,5.0,75.0,기타,청소년관람불가,0.0,6.833333333333333,3.4166666666666665,16,3,78,1,2,1,16
206: 사라지지 않는,찬란,2023,6,26.0,74.0,다큐멘터리,12세이상관람가,8.36,6.0,7.18,8,0,77,1,2,1,8
한번 죽어 봤다,(주)미디어캐슬,2023,8,1.0,73.0,코미디,12세이상관람가,5.86,5.0,5.43,6,0,76,1,2,1,6
위대한 작은 농장,(주)엣나인필름,2023,6,31.0,65.0,다큐멘터리,전체관람가,8.74,6.67,7.705,8,2,67,1,2,1,8
그녀가 좋아하는 것은,홀리가든,2023,7,69.0,58.0,멜로/로맨스,15세이상관람가,7.29,6.0,6.645,3,1,58,1,2,1,3
좀비 사용 설명서,(주)드림팩트엔터테인먼트,2023,7,4.0,56.0,공포(호러),15세이상관람가,4.8,3.0,3.9,5,1,56,1,2,1,5
슬픔의 삼각형,"그린나래미디어(주),(주)플레이그램,메가박스중앙(주)",2023,5,294.0,55.0,코미디,15세이상관람가,7.71,7.17,7.4399999999999995,6,1,55,0,1,1,6
다크 글래시스,주식회사 루믹스미디어,2023,7,5.0,45.0,공포(호러),15세이상관람가,6.0,5.856206896551725,5.928103448275863,5,1,45,1,2,1,5
경감 매그레,(주)영화사 안다미로,2023,8,5.0,43.0,스릴러,12세이상관람가,6.0,6.725,6.3625,7,0,43,1,2,1,7
낭만여행,(주)콘텐츠윙,2023,8,1.0,40.0,코미디,15세이상관람가,10.0,5.805277777777778,7.902638888888889,6,1,40,1,2,1,6
더 도어 : 다섯 개의 문,주식회사 원더스튜디오,2023,8,5.0,40.0,스릴러,청소년관람불가,7.21,6.725,6.967499999999999,7,3,40,1,2,1,7
인어공주,월트디즈니컴퍼니코리아 유한책임회사,2023,5,63.0,38.0,뮤지컬,전체관람가,9.14,7.31,8.225,17,2,38,0,1,1,17
울지마 엄마,주식회사 원더스튜디오,2023,5,99.0,36.0,다큐멘터리,전체관람가,9.16,5.5,7.33,8,2,36,0,1,1,8
사고물건 무서운 방,(주)미디어캐슬,2023,8,1.0,34.0,공포(호러),15세이상관람가,2.4,5.486,3.9429999999999996,5,1,34,1,2,1,5
물안에서,"(주)영화제작전원사 ,(주)콘텐츠판다",2023,4,61.0,28.0,드라마,12세이상관람가,6.97,7.25,7.109999999999999,2,0,28,0,1,1,2
47시간: 샤크베이트,(유)조이앤시네마,2023,8,3.0,27.0,스릴러,15세이상관람가,6.2,6.725,6.4625,7,1,27,1,2,1,7
안나푸르나,시네마 뉴원,2023,6,16.0,25.0,드라마,전체관람가,9.5,4.0,6.75,2,2,25,1,2,1,2
파이어하트,"(주)누리픽쳐스,(주)블루라벨픽쳐스,TCO(주)더콘텐츠온",2023,6,187.0,25.0,애니메이션,전체관람가,8.5,6.0,7.25,0,2,25,1,2,1,0
악마들,TCO(주)더콘텐츠온,2023,7,613.0,21.0,액션,청소년관람불가,7.25,4.0,5.625,1,3,21,1,2,1,1
말이야 바른 말이지,서울독립영화제,2023,5,34.0,18.0,코미디,전체관람가,7.25,6.0,6.625,6,2,18,0,1,1,6
"자우림, 더 원더랜드",메가박스중앙(주),2023,6,109.0,17.0,다큐멘터리,전체관람가,8.22,6.0,7.11,8,2,17,1,2,1,8
라모나,주식회사 블루필름웍스,2023,8,5.0,14.0,드라마,15세이상관람가,0.0,4.0,2.0,2,1,13,1,2,1,2
남은 인생 10년,(주)디스테이션,2023,5,203.0,10.0,멜로/로맨스,12세이상관람가,7.72,6.0,6.859999999999999,3,0,9,0,1,1,3
모하비 다이아몬드,(주)블루라벨픽쳐스,2023,8,1.0,10.0,범죄,15세이상관람가,9.0,5.5,7.25,4,1,9,1,2,1,4
삼총사,주식회사 풍경소리,2023,8,1.0,10.0,액션,12세이상관람가,7.32,6.5,6.91,1,0,9,1,2,1,1
나의 사소한 슬픔,스튜디오 에이드,2023,6,73.0,8.0,드라마,15세이상관람가,7.33,6.5,6.915,2,1,7,1,2,1,2
SAS: 레니게이드 인 런던,주식회사 루믹스미디어,2023,8,1.0,8.0,액션,청소년관람불가,6.0,5.909787234042553,5.954893617021277,1,3,7,1,2,1,1
"믿거나 말거나, 진짜야",M&M 인터내셔널,2023,6,20.0,7.0,SF,15세이상관람가,6.48,6.67,6.575,13,1,6,1,2,1,13
군산전기,주식회사 블루필름웍스,2023,7,9.0,6.0,다큐멘터리,전체관람가,7.14,5.0,6.07,8,2,5,1,2,1,8
노트르담 온 파이어,찬란,2023,6,20.0,4.0,드라마,12세이상관람가,7.94,6.0,6.970000000000001,2,0,3,1,2,1,2
레이디,주식회사 씨엠닉스,2023,7,3.0,3.0,드라마,15세이상관람가,6.83,6.009012345679013,6.419506172839506,2,1,2,1,2,1,2
익스트림 페스티벌,트윈플러스파트너스(주),2023,6,42.0,3.0,코미디,12세이상관람가,8.05,6.83,7.44,6,0,2,1,2,1,6
잠,롯데컬처웍스(주)롯데엔터테인먼트,2023,9,63.0,223.77777099609372,미스터리,15세이상관람가,7.84,7.0,7.42,9,1,232,2,3,1,9
천박사 퇴마 연구소: 설경의 비밀,(주)씨제이이엔엠,2023,9,63.0,627.25,판타지,12세이상관람가,7.03,5.0,6.015000000000001,10,0,594,2,3,2,10
오펜하이머,유니버설픽쳐스인터내셔널 코리아(유),2023,8,63.0,338.6428527832031,스릴러,15세이상관람가,8.53,8.4,8.465,7,1,346,1,2,2,7
1947 보스톤,"롯데컬처웍스(주)롯데엔터테인먼트,(주)콘텐츠지오,주식회사 에이투지엔터테인먼트",2023,9,63.0,1755.908203125,드라마,12세이상관람가,7.83,5.67,6.75,2,0,1043,2,3,2,2
달짝지근해: 7510,(주)마인드마크,2023,8,884.0,7816.11767578125,코미디,12세이상관람가,7.67,6.5,7.085,6,0,1496,1,2,3,6
콘크리트 유토피아,롯데컬처웍스(주)롯데엔터테인먼트,2023,8,63.0,15568.5234375,드라마,15세이상관람가,8.19,7.14,7.664999999999999,2,1,1661,1,2,3,2
타겟,플러스엠 엔터테인먼트,2023,8,986.0,338.6428527832031,스릴러,15세이상관람가,6.95,5.0,5.975,7,1,346,1,2,2,7
베니스 유령 살인사건,월트디즈니컴퍼니코리아 유한책임회사,2023,9,876.0,132.0,범죄,12세이상관람가,7.19,5.67,6.43,4,0,137,2,3,1,4
거미집,(주)바른손이앤에이,2023,9,63.0,8726.2861328125,코미디,15세이상관람가,7.61,6.67,7.140000000000001,6,1,1535,2,3,3,6
엘리멘탈,월트디즈니컴퍼니코리아 유한책임회사,2023,6,63.0,251541.71875,애니메이션,전체관람가,8.92,7.29,8.105,0,2,1995,1,2,3,0
더 넌 2,워너브러더스 코리아(주),2023,9,720.0,471.9333190917969,공포(호러),15세이상관람가,6.79,5.5,6.145,5,1,472,2,3,2,5
가문의 영광: 리턴즈,(주)넥스트엔터테인먼트월드(NEW),2023,9,823.0,8726.2861328125,코미디,15세이상관람가,3.57,1.5,2.535,6,1,1535,2,3,3,6
밀수,(주)넥스트엔터테인먼트월드(NEW),2023,7,63.0,156217.234375,액션,15세이상관람가,7.94,6.14,7.04,1,1,1959,1,2,3,1
그란 투리스모,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2023,9,883.0,243490.03125,액션,12세이상관람가,8.34,6.0,7.17,1,0,1990,2,3,3,1
"여름을 향한 터널, 이별의 출구",(주)미디어캐슬,2023,9,269.0,15955.3486328125,애니메이션,12세이상관람가,7.46,6.0,6.73,0,0,1667,2,3,3,0
아이유 콘서트 : 더 골든 아워,씨제이 씨지브이(CJ CGV)(주),2023,9,63.0,5141.58349609375,공연,전체관람가,9.66,6.375,8.0175,14,2,1382,2,3,3,14
닌자터틀: 뮤턴트 대소동,롯데컬처웍스(주)롯데엔터테인먼트,2023,9,650.0,15955.3486328125,애니메이션,전체관람가,7.16,5.5,6.33,0,2,1667,2,3,3,0
아르고 원정대: 꼬마 영웅 패티의 대모험,(주)스튜디오디에이치엘,2023,9,516.0,15955.3486328125,애니메이션,전체관람가,8.53,6.0,7.265,0,2,1667,2,3,3,0
극장판 엉덩이 탐정: 미스터리 가면 ~최강의 대결,(주)넥스트엔터테인먼트월드(NEW),2023,9,601.0,15955.3486328125,애니메이션,전체관람가,8.41,5.0,6.705,0,2,1667,2,3,3,0
신체모음.zip,"(주)스튜디오디에이치엘,(주)싸이더스",2023,8,269.0,116413.90625,공포(호러),15세이상관람가,6.39,5.0,5.695,5,1,1939,1,2,3,5
스파이 코드명 포춘,"(주)레드아이스 엔터테인먼트,(주)제이앤씨미디어그룹",2023,8,477.0,20160.5,액션,15세이상관람가,6.13,4.67,5.4,1,1,1718,1,2,3,1
마야 3: 숲속 왕국의 위기,(주)박수엔터테인먼트,2023,8,208.0,39946.97265625,애니메이션,전체관람가,7.73,6.0,6.865,0,2,1821,1,2,3,0
더 퍼스트 슬램덩크,(주)넥스트엔터테인먼트월드(NEW),2023,1,63.0,90301.8671875,애니메이션,12세이상관람가,9.25,7.67,8.46,0,0,1911,3,4,3,0
치악산,와이드 릴리즈(주),2023,9,220.0,471.9333190917969,공포(호러),15세이상관람가,3.17,4.0,3.585,5,1,472,2,3,2,5
플로라 앤 썬,씨제이 씨지브이(CJ CGV)(주),2023,9,120.0,1755.908203125,드라마,15세이상관람가,7.88,7.0,7.4399999999999995,2,1,1043,2,3,2,2
생츄어리: 마법의 소원나무,(주)팝엔터테인먼트,2023,9,188.0,15955.3486328125,애니메이션,전체관람가,7.9,5.0,6.45,0,2,1667,2,3,3,0
일주일간 친구,"주식회사 올랄라스토리,오드",2023,9,142.0,1755.908203125,드라마,12세이상관람가,6.81,5.0,5.904999999999999,2,0,1043,2,3,2,2
듣보인간의 생존신고,(주)시네마달,2023,9,93.0,10077.0712890625,다큐멘터리,전체관람가,9.31,5.25,7.28,8,2,1562,2,3,3,8
어파이어,M&M 인터내셔널,2023,9,68.0,1755.908203125,드라마,12세이상관람가,8.02,8.43,8.225,2,0,1043,2,3,2,2
80일간의 세계일주,"(주)제이앤씨미디어그룹,와이드 릴리즈(주)",2023,9,171.0,15955.3486328125,애니메이션,전체관람가,8.0,6.5,7.25,0,2,1667,2,3,3,0
한 남자,트윈플러스파트너스(주),2023,8,161.0,22538.0,범죄,12세이상관람가,8.19,7.25,7.72,4,0,1740,1,2,3,4
힙노틱,"(주)레드아이스 엔터테인먼트,(주)제이앤씨미디어그룹",2023,9,113.0,301.3999938964844,SF,15세이상관람가,6.52,4.5,5.51,13,1,309,2,3,2,13
씰벤져스 : 용감한 바다특공대,(주)무비다이브,2023,9,121.0,15955.3486328125,애니메이션,전체관람가,6.48,5.805714285714285,6.142857142857142,0,2,1667,2,3,3,0
명탐정코난: 흑철의 어영,(주)씨제이이엔엠,2023,7,63.0,61293.453125,애니메이션,12세이상관람가,8.56,6.0,7.28,0,0,1874,1,2,3,0
조이 라이드,판씨네마(주),2023,8,225.0,7816.11767578125,코미디,청소년관람불가,6.51,6.0,6.255,6,3,1496,1,2,3,6
스즈메의 문단속,(주)쇼박스,2023,3,63.0,17394.171875,애니메이션,12세이상관람가,8.45,7.6,8.024999999999999,0,0,1683,0,1,3,0
어느 멋진 아침,"찬란,(주)빅브라더스",2023,9,50.0,1755.908203125,드라마,15세이상관람가,6.89,7.0,6.945,2,1,1043,2,3,2,2
여덟 개의 산,(주)영화사 진진,2023,9,44.0,1755.908203125,드라마,12세이상관람가,8.18,7.33,7.755,2,0,1043,2,3,2,2
폭로,(주)메리크리스마스,2023,9,145.0,132.0,범죄,12세이상관람가,6.41,5.83,6.12,4,0,137,2,3,1,4
서태지 25주년 라이브 타임: 트래블러,씨제이 씨지브이(CJ CGV)(주),2023,9,44.0,5141.58349609375,공연,전체관람가,9.14,6.375,7.7575,14,2,1382,2,3,3,14
강다니엘: 마이 퍼레이드,"씨제이 씨지브이(CJ CGV)(주),(주)위즈온센",2023,8,26.0,20637.86328125,공연,전체관람가,10.0,6.353076923076923,8.176538461538462,14,2,1721,1,2,3,14
차박- 살인과 낭만의 밤,(주)디스테이션,2023,9,90.0,6496.33349609375,스릴러,15세이상관람가,9.1,3.0,6.05,7,1,1442,2,3,3,7
칸다하,(주)누리픽쳐스,2023,9,78.0,6496.33349609375,스릴러,15세이상관람가,7.2,5.0,6.1,7,1,1442,2,3,3,7
수라,"스튜디오두마,미디어나무(주),스튜디오 에이드",2023,6,136.0,1111.7291259765625,다큐멘터리,전체관람가,8.268196721311476,8.0,8.134098360655738,8,2,905,1,2,2,8
바다 탐험대 옥토넛 어보브 앤 비욘드 : 육지 넘어 하늘까지!,와이드 릴리즈(주),2023,8,245.0,39946.97265625,애니메이션,전체관람가,7.7,5.7515217391304345,6.725760869565217,0,2,1821,1,2,3,0
미션 임파서블: 데드 레코닝 PART ONE,롯데컬처웍스(주)롯데엔터테인먼트,2023,7,63.0,156217.234375,액션,15세이상관람가,8.5,7.4,7.95,1,1,1959,1,2,3,1
바비,워너브러더스 코리아(주),2023,7,780.0,452.25,기타,12세이상관람가,8.29,5.5,6.895,16,0,455,1,2,2,16
극장판 사사키와 미야노 - 졸업편,(주)디스테이션,2023,9,65.0,15955.3486328125,애니메이션,12세이상관람가,9.25,5.0,7.125,0,0,1667,2,3,3,0
더 문,(주)씨제이이엔엠,2023,8,63.0,586.5,SF,12세이상관람가,7.36,7.0,7.18,13,0,561,1,2,2,13
스파이더맨: 어크로스 더 유니버스,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2023,6,63.0,251541.71875,애니메이션,전체관람가,8.82,8.13,8.475000000000001,0,2,1995,1,2,3,0
치치치 치킨의 비밀,(주)팝엔터테인먼트,2023,8,156.0,39946.97265625,애니메이션,전체관람가,4.83,5.7515217391304345,5.290760869565217,0,2,1821,1,2,3,0
엔니오: 더 마에스트로,"(주)영화사 진진,(주)씨네필운",2023,7,67.0,949.1199951171876,다큐멘터리,12세이상관람가,8.826785714285714,6.5,7.663392857142857,8,0,837,1,2,2,8
스크래퍼,"그린나래미디어(주),(주)스튜디오 산타클로스엔터테인먼트",2023,9,45.0,8726.2861328125,코미디,12세이상관람가,7.56,6.0,6.779999999999999,6,0,1535,2,3,3,6
이터널 메모리,(주)엣나인필름,2023,9,42.0,10077.0712890625,다큐멘터리,전체관람가,7.81,5.5,6.654999999999999,8,2,1562,2,3,3,8
몬스터 패밀리 2,메가박스중앙(주),2023,8,434.0,39946.97265625,애니메이션,전체관람가,8.12,6.0,7.06,0,2,1821,1,2,3,0
이노센트,(주)스튜디오디에이치엘,2023,9,60.0,471.9333190917969,공포(호러),15세이상관람가,7.41,6.0,6.705,5,1,472,2,3,2,5
번개맨: 더 비기닝,"(주)드림팩트엔터테인먼트,(주)빅브라더스",2023,9,181.0,15955.3486328125,애니메이션,전체관람가,5.38,5.0,5.1899999999999995,0,2,1667,2,3,3,0
킴스 비디오,오드,2023,9,39.0,10077.0712890625,다큐멘터리,12세이상관람가,8.2,7.0,7.6,8,0,1562,2,3,3,8
노크: 더 하우스,(주)누리픽쳐스,2023,9,92.0,471.9333190917969,공포(호러),15세이상관람가,6.35,5.564705882352941,5.95735294117647,5,1,472,2,3,2,5
보호자,(주)에이스메이커무비웍스,2023,8,685.0,20160.5,액션,15세이상관람가,5.52,5.5,5.51,1,1,1718,1,2,3,1
비공식작전,(주)쇼박스,2023,8,63.0,15568.5234375,드라마,12세이상관람가,7.84,5.5,6.67,2,0,1661,1,2,3,2
런닝맨: 리벤져스,(주)넥스트엔터테인먼트월드(NEW),2023,8,221.0,39946.97265625,애니메이션,전체관람가,9.26,4.0,6.63,0,2,1821,1,2,3,0
뮤직 샤펠,해피송,2023,9,39.0,1755.908203125,드라마,12세이상관람가,7.64,6.0,6.82,2,0,1043,2,3,2,2
강변의 무코리타,(주)디스테이션,2023,8,131.0,15568.5234375,드라마,12세이상관람가,7.47,7.0,7.234999999999999,2,0,1661,1,2,3,2
물꽃의 전설,(주)영화사 진진,2023,8,33.0,1087.3695068359375,다큐멘터리,전체관람가,8.89,6.0,7.445,8,2,894,1,2,2,8
잔고: 분노의 적자,(주)영화사 그램,2023,9,42.0,320.0,서부극(웨스턴),12세이상관람가,6.81,4.0,5.404999999999999,20,0,330,2,3,2,20
볼코노고프 대위 탈출하다,주식회사 슈아픽처스,2023,8,36.0,338.6428527832031,스릴러,15세이상관람가,7.65,7.0,7.325,7,1,346,1,2,2,7
나의 그리스식 웨딩 3,유니버설픽쳐스인터내셔널 코리아(유),2023,9,7.0,8726.2861328125,코미디,12세이상관람가,8.17,6.0,7.085,6,0,1535,2,3,3,6
절해고도,"아이 엠,무브먼트",2023,9,36.0,1755.908203125,드라마,12세이상관람가,7.88,6.5,7.1899999999999995,2,0,1043,2,3,2,2
그녀의 취미생활,(주)트리플픽쳐스,2023,8,52.0,405.6000061035156,미스터리,15세이상관람가,8.06,5.8,6.93,9,1,409,1,2,2,9
탄생,"씨제이 씨지브이(CJ CGV)(주),(주)레드아이스 엔터테인먼트",2022,11,670.0,98366.2890625,드라마,12세이상관람가,8.15,6.56,7.355,2,0,1919,2,3,3,2
거룩한 술꾼의 전설,일미디어,2023,8,18.0,15568.5234375,드라마,15세이상관람가,7.32,7.67,7.495,2,1,1661,1,2,3,2
지옥만세,찬란,2023,8,65.0,190.8333282470703,어드벤처,12세이상관람가,7.96,6.43,7.195,15,0,199,1,2,1,15
다음 소희,트윈플러스파트너스(주),2023,2,562.0,9822.9453125,드라마,15세이상관람가,8.72,6.5,7.61,2,1,1557,3,4,3,2
극장판 슈퍼윙스: 맥시멈 스피드,(주)넥스트엔터테인먼트월드(NEW),2023,7,407.0,61293.453125,애니메이션,전체관람가,8.25,6.0,7.125,0,2,1874,1,2,3,0
"안녕, 내일 또 만나","(주)영화사 안다미로,영화로운 형제",2023,9,21.0,1755.908203125,드라마,12세이상관람가,9.25,6.0,7.625,2,0,1043,2,3,2,2
치치핑핑의 쿵쿵따 탐험대,(주)에픽캔,2023,4,4.0,2109.041748046875,공연,전체관람가,6.092499999999999,6.1175,6.1049999999999995,14,2,1099,0,1,2,14
비밀의 언덕,(주)엣나인필름,2023,7,56.0,974.0,기타,전체관람가,8.68,7.2,7.9399999999999995,16,2,848,1,2,2,16
마에스트로,(주)티캐스트,2023,8,45.0,817.0,드라마,12세이상관람가,7.05,5.0,6.025,2,0,745,1,2,2,2
돈 룩 디퍼,"(주)메타플로스튜디오,주식회사 블루필름웍스",2023,9,14.0,812.0,SF,15세이상관람가,3.5,7.025714285714286,5.262857142857143,13,1,740,2,3,2,13
더 리프: 언더 워터,(주)이놀미디어,2023,9,33.0,798.0,스릴러,15세이상관람가,4.0,4.0,4.0,7,1,730,2,3,2,7
메가로돈 2,워너브러더스 코리아(주),2023,8,415.0,791.0,액션,12세이상관람가,5.59,3.5,4.545,1,0,725,1,2,2,1
책 종이 가위,"(주)디오시네마,GATE6",2023,9,14.0,717.0,다큐멘터리,전체관람가,7.8,6.33,7.0649999999999995,8,2,669,2,3,2,8
극장판 피노키오 위대한 모험,"와이드 릴리즈(주),(주)태양미디어그룹",2023,7,208.0,627.0,애니메이션,전체관람가,7.04,5.0,6.02,0,2,593,1,2,2,0
너의 시선이 머무는 곳에,씨제이 씨지브이(CJ CGV)(주),2023,9,14.0,592.0,드라마,12세이상관람가,0.0,6.32764705882353,3.163823529411765,2,0,566,2,3,2,2
마인드 유니버스,영화사빅,2023,9,12.0,500.0,SF,12세이상관람가,8.9,6.0,7.45,13,0,497,2,3,2,13
핑크퐁 시네마 콘서트3 : 진저브레드맨을 잡아라,더핑크퐁컴퍼니(주),2023,7,128.0,499.0,애니메이션,전체관람가,7.88,5.856865671641791,6.8684328358208955,0,2,496,1,2,2,0
아버지의 마음,"(주)드림팩트엔터테인먼트,파이오니아21",2023,7,85.0,484.0,다큐멘터리,전체관람가,9.33,6.342105263157895,7.836052631578948,8,2,482,1,2,2,8
커밍 홈 어게인,시네마 뉴원,2023,9,12.0,478.0,드라마,전체관람가,8.2,6.33,7.265,2,2,478,2,3,2,2
료마! 테니스의 왕자: 디사이드,(주)미디어캐슬,2023,9,7.0,382.0,애니메이션,12세이상관람가,10.0,5.805714285714285,7.902857142857142,0,0,389,2,3,2,0
피아노 프리즘,필름다빈,2023,8,17.0,371.0,다큐멘터리,전체관람가,9.5,6.0,7.75,8,2,376,1,2,2,8
경미의 세계,트윈플러스파트너스(주),2023,9,13.0,336.0,드라마,12세이상관람가,8.25,4.0,6.125,2,0,343,2,3,2,2
에브리씽 에브리웨어 올 앳 원스,워터홀컴퍼니(주),2022,10,620.0,320.0,액션,15세이상관람가,8.8,8.43,8.615,1,1,330,2,3,2,1
리벤지 나이트,(주)엔케이컨텐츠,2023,9,26.0,316.0,액션,15세이상관람가,2.25,2.33,2.29,1,1,326,2,3,2,1
애스터로이드 시티,유니버설픽쳐스인터내셔널 코리아(유),2023,6,269.0,295.0,드라마,12세이상관람가,7.32,6.67,6.995,2,0,302,1,2,2,2
로보카폴리 안전교실 교통편,(주)로이비쥬얼,2022,9,16.0,268.0,애니메이션,전체관람가,8.113118279569893,5.805714285714285,6.9594162826420884,0,2,276,2,3,2,0
람보르기니: 전설이 된 남자,(주)누리픽쳐스,2023,8,5.0,231.0,드라마,12세이상관람가,6.48,4.5,5.49,2,0,240,1,2,1,2
퀴어 마이 프렌즈,(주)영화사 그램,2023,8,38.0,224.0,다큐멘터리,12세이상관람가,8.0,7.0,7.5,8,0,233,1,2,1,8
킬러의 레스토랑,(주)스튜디오디에이치엘,2023,8,44.0,200.0,액션,15세이상관람가,7.55,5.909787234042553,6.729893617021276,1,1,209,1,2,1,1
납치: 사라진 메구미,(유)조이앤시네마,2023,9,1.0,192.0,드라마,15세이상관람가,1.0,6.32764705882353,3.663823529411765,2,1,201,2,3,1,2
하나님의 마음,"주식회사 블루필름웍스,(주)버킷스튜디오",2023,6,117.0,169.0,드라마,12세이상관람가,9.13,6.318787878787879,7.72439393939394,2,0,178,1,2,1,2
살바도르 달리 : 불멸을 찾아서,(주)마노엔터테인먼트,2023,8,34.0,160.0,다큐멘터리,12세이상관람가,6.53,5.0,5.765000000000001,8,0,167,1,2,1,8
너의 순간,영화로운 형제,2023,8,26.0,157.0,멜로/로맨스,12세이상관람가,7.45,5.0,6.225,3,0,163,1,2,1,3
범죄도시3,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",2023,5,63.0,152.0,범죄,15세이상관람가,7.65,5.5,6.575,4,1,158,0,1,1,4
작전명씨울프,(주)제이앤씨미디어그룹,2023,9,4.0,148.0,드라마,15세이상관람가,5.75,6.32764705882353,6.038823529411765,2,1,153,2,3,1,2
에릭 클랩튼: 어크로스 24 나이츠,(주)케빈앤컴퍼니,2023,8,18.0,128.0,공연,12세이상관람가,9.4,6.353076923076923,7.876538461538462,14,0,133,1,2,1,14
말이야 바른 말이지,서울독립영화제,2023,5,34.0,120.0,코미디,전체관람가,7.25,6.0,6.625,6,2,125,0,1,1,6
킹 오브 뉴욕,일미디어,2023,9,8.0,118.0,액션,청소년관람불가,9.0,7.33,8.165,1,3,123,2,3,1,1
경감 매그레,(주)영화사 안다미로,2023,8,5.0,105.0,스릴러,12세이상관람가,6.0,6.725,6.3625,7,0,108,1,2,1,7
다섯 번째 흉추,㈜인디스토리,2023,8,43.0,104.0,드라마,15세이상관람가,5.44,6.0,5.720000000000001,2,1,107,1,2,1,2
라모나,주식회사 블루필름웍스,2023,8,5.0,93.0,드라마,15세이상관람가,0.0,4.0,2.0,2,1,96,1,2,1,2
식운,(주)미디어캐슬,2023,9,5.0,90.0,드라마,전체관람가,7.533771929824562,6.32764705882353,6.930709494324046,2,2,93,2,3,1,2
너의 눈을 들여다보면,(주)디오시네마,2023,6,71.0,76.0,드라마,전체관람가,8.0,8.4,8.2,2,2,79,1,2,1,2
어디로 가고 싶으신가요,(주)디스테이션,2023,7,89.0,74.0,드라마,12세이상관람가,9.71,6.0,7.855,2,0,77,1,2,1,2
붉은 사막,일미디어,2023,7,18.0,61.0,드라마,15세이상관람가,7.23,6.0,6.615,2,1,62,1,2,1,2
"1986 그 여름, 그리고 고등어통조림",와이드 릴리즈(주),2023,7,111.0,60.0,드라마,12세이상관람가,8.65,6.6,7.625,2,0,61,1,2,1,2
기적을 믿는 소녀,홀리가든,2023,7,76.0,55.0,드라마,전체관람가,9.17,4.0,6.585,2,2,55,1,2,1,2
오르소,주식회사 풍경소리,2023,9,5.0,54.0,멜로/로맨스,청소년관람불가,5.5,5.6775,5.58875,3,3,54,2,3,1,3
말없는 소녀,주식회사 슈아픽처스,2023,5,52.0,52.0,드라마,전체관람가,8.36,7.0,7.68,2,2,52,0,1,1,2
피닉스 미션,주식회사 풍경소리,2023,9,5.0,46.0,전쟁,15세이상관람가,6.0,5.83,5.915,12,1,46,2,3,1,12
아만다,(주)이놀미디어,2023,8,29.0,44.0,드라마,15세이상관람가,6.67,6.25,6.46,2,1,44,1,2,1,2
틴에이지 크라켄 루비,유니버설픽쳐스인터내셔널 코리아(유),2023,7,203.0,43.0,애니메이션,전체관람가,7.42,6.0,6.71,0,2,43,1,2,1,0
위대한 작은 농장,(주)엣나인필름,2023,6,31.0,39.0,다큐멘터리,전체관람가,8.74,6.67,7.705,8,2,39,1,2,1,8
보 이즈 어프레이드,(주)스튜디오디에이치엘,2023,7,312.0,32.0,어드벤처,청소년관람불가,7.17,6.22,6.695,15,3,32,1,2,1,15
슬픔의 삼각형,"그린나래미디어(주),(주)플레이그램,메가박스중앙(주)",2023,5,294.0,32.0,코미디,15세이상관람가,7.71,7.17,7.4399999999999995,6,1,32,0,1,1,6
사랑하는 당신에게,(주)티캐스트,2023,5,28.0,22.0,드라마,12세이상관람가,7.59,6.0,6.795,2,0,22,0,1,1,2
보통의 카스미,(주)비싸이드 픽쳐스,2023,7,24.0,14.0,드라마,12세이상관람가,7.68,5.67,6.675,2,0,13,1,2,1,2
그 노래,주식회사 씨엠닉스,2023,8,5.0,13.0,드라마,12세이상관람가,6.33,6.0,6.165,2,0,12,1,2,1,2
